"FatherHeight"	"MotherHeight"	"Weight"	"Length"
181.4	165.3	2911.7	47
174.1	169.3	2937.2	48.1
170.8	169.6	3043.3	49.2
179.1	167.9	3467.7	50.7
175	161.3	2697.6	46
175.7	171.2	3195.2	49.2
173	165.9	2867.2	48.4
180.4	168.6	3519.7	51.9
181.1	165.3	2874.9	47.5
177	167.6	3770.2	52.1
183.2	171.8	4245.2	51.7
176.2	168.1	3270.2	48.6
177.2	171.3	3706	50.8
175.2	167.1	3015.5	48.9
178.5	165.6	3227.6	48.8
180.2	172.6	3576.1	50.9
178.7	168.4	3458.1	49.7
184	173.9	4044	51.1
182.3	168.6	2974.1	47.2
180.2	168.8	3273.7	50
178.5	169	3421	50.8
181.8	166.7	3332.6	50.4
183.3	166.8	4020.4	53.2
181.3	167.5	3364.2	49.7
182.8	159.3	2940.8	47.2
178.7	171.1	3636	51.7
188.5	171.1	4060.4	51.4
180.2	166.4	3759.8	51.6
179.1	163.6	3296.4	50.5
182.3	172.7	4114	53
174.7	162.2	2828.2	48.2
176.5	167	3269.8	50.2
171.9	166.3	3014.5	48.5
180.1	169.4	3596.2	49.6
179.7	166.3	3483.1	51.2
178.2	165.8	2676.3	46.5
170.6	166.3	2368	45.2
172.8	166	2830.1	47
179	163.5	2876.3	47.7
183.1	163.4	3402.6	49.9
173.6	165.6	3070	49.9
177	166.4	3406.2	50
184.1	163.7	3389.4	49.8
175.3	165.8	3096.5	49.9
177.8	167.8	2912.2	46.1
179	170.4	3373.8	48.8
176.8	165.1	3149.4	49.2
173.7	165.6	3563.1	52.2
178.9	174.8	3691.8	49.8
179.8	163.8	3213.9	50.8
176.4	164.5	3776.7	52.7
182.8	165	3840.9	50.9
176.4	167.8	2911.7	47.8
177	170.7	3224.6	48.4
175.2	166.9	2812.7	47.7
180.6	173.6	4290.5	53.5
174.5	171.3	3049.9	47.5
170.6	169.3	2753.7	47.8
172.3	169	2675.6	47.3
176.7	168.8	3125.5	48.8
176.3	163.6	2870.9	46.8
179.1	162.7	2669.8	47.2
172.8	170	3632.4	52.3
176.1	160.7	2141.5	43.8
175.9	169.7	3500.1	49.7
174	169.2	3081.5	49.4
176.9	170	3845.6	52.3
175.6	167.1	3130	50.3
175.3	172	3693	50.8
172.1	167.4	2805.5	48.7
175.3	167.5	3313.4	50.4
179.2	169.6	3573.1	51.4
174.3	159.9	2430.7	46.4
176	159.8	2734.5	46.9
174	164.1	2921.2	48.2
175.5	161.9	2355.8	45.2
172.8	168.4	3370.3	49.6
175.6	164.5	2689.3	48
182	167.3	3767.3	52.6
175.2	162.8	2578	46.7
177.9	168.1	3454.1	50.1
180.5	176.6	4091.1	52.2
178.3	162.9	2629.2	46.1
177.7	163.7	2927.1	48
175.8	165.6	2392.5	45
172	168.9	2802.9	46
176.8	164.3	2929.1	48
174.9	162.3	2351.9	45.7
180.1	162.9	3452.8	50.4
181.9	172.8	4258	53.6
170.5	166.9	3228.5	50.2
180.4	165.5	2795.2	47.9
172.4	163.7	2297.8	44.4
175.9	172.4	2954.9	46.6
178.3	171.5	3713.3	52.3
178.8	164.9	2916.9	47.8
172.4	164.1	2704	47.7
183.6	162.4	3122.5	48.1
175.5	170.9	2945	48.2
176.7	168.2	3037.4	48.7
177.9	168.8	3060.3	48.5
179.2	169	3250.3	48.1
176.3	162.8	2551	46.7
179.2	165.2	2643.4	45.9
173.9	168.4	3055.6	49.6
178.6	163.7	3238.7	48.8
175.7	163.3	2733.9	48.5
177.5	165.1	3408.6	50.5
178.6	166.7	2791.7	46.4
181.5	168.8	3844.7	51.7
174.6	168.4	3032	48.1
177.5	171.1	3433.9	49.6
175.2	170.7	2945.6	46.3
182.3	168.1	3583	50.4
173.7	167	2749.3	48.3
175.5	170.6	3194.2	48.1
179.6	161.4	2966.8	48.3
174.7	165.7	2702.6	46.6
180.1	168.2	3839.7	51.8
172.6	164.3	2820.2	47.4
174	166.2	2977.6	49.3
180.5	158.7	2612.4	47.7
172.4	164.9	2866.4	48.7
174.5	164.2	3117.1	49.2
180.1	171.1	4183.4	52.9
177.3	167.6	3184.2	48.6
180.4	161.3	3239.1	50
173.8	169.9	3462.4	50.5
174.6	164.8	3176.6	49
180.7	163.4	3599	51
173.5	169.2	2883	46.6
173	169.6	3165.4	48.5
179.3	170.1	3648	52.5
176	165.3	3002.5	49
180.3	169.5	3803	50.2
173	158.9	2252.1	45.9
175.7	164.2	3042.3	48.2
173.2	159.6	2303.4	45.8
178.7	167.8	3244	48.2
182.6	164	3593.9	51.3
177.3	167	2954.9	48.6
171.2	165.8	2747.4	46.8
180.6	169	3163.8	48.5
178.4	164.5	3605.1	51.6
174.6	171.3	3301.8	50.4
174.3	169.8	3311.4	49.6
179.3	164.4	3122.5	47.4
185.2	165.2	3845.8	51.3
173.2	169.6	3390.8	50.8
177.2	170.6	3085.1	46.9
179.9	165.2	2556	44.7
174.5	166.7	2483.4	45.9
178.4	163.3	3569.7	50.5
175.7	164.6	3224.2	50.2
184.2	165	3768.6	50.4
175.5	166.7	2958.3	48.3
179.2	164.8	2898.5	47.3
173.5	171.3	3238.7	49.2
176.3	164.1	2960.5	47.9
178.7	168.4	3629.6	51.5
168.3	168.9	2554.6	46.8
175.9	172.8	3829.7	52.8
178.8	165.7	3307.9	50.3
177.4	172.1	3468.3	49.4
174	171.4	3498.9	50.1
181.4	162.4	3465	51.5
178.5	165	3374.2	49.6
183.6	170.4	3918.1	51.6
179.8	159.9	2586.2	46
185	167.2	3681	50.2
171.3	165.8	2258.9	44.5
180.2	167.5	3164.6	47.5
176	165.3	2426.6	44.3
178.4	168	3417.5	51
179	166.5	3543.7	51.4
180.1	169	3435.2	50.6
174.8	166.8	2655.1	46.7
179.9	161.4	2343.6	44.8
176.4	165.3	2836.9	48.3
175.9	166	3035.3	49.3
176.3	164.3	3016.6	48.3
176.5	167.3	3581.2	51.6
176.1	164.7	2506.8	45.9
179.4	163.5	3028	48.3
175.6	164.3	2582.6	45.6
179.5	162.5	3208	50.3
178.2	164.8	3279.9	48.6
176.5	166.4	2991.8	48.9
174.2	168.4	2687.1	46.5
185.5	169.3	3757.6	52
182.4	162.3	2802.3	47.1
175.1	161.7	2688.3	47
177.1	165.3	3146.7	49
178.5	169.9	4140.3	51.4
181.9	166.2	3350.8	51.3
177	166.5	3059.2	49.9
178.1	167.9	3133.1	49.5
183.3	169	3812.9	51.2
178.7	169.5	4447.5	55
187	167.8	4204.1	53.1
182.8	160.3	3182.1	49.7
177.8	161.2	2512.7	47
173.3	170	2972.9	48.2
177.5	166.8	3031	48.9
172.9	167.4	3294.9	49.6
173.9	165.3	2877.2	48.8
179.5	167.2	3430.9	50
179.2	165.1	3169.5	48.1
175.8	169.7	3228.3	49.2
175.3	165.6	2704.8	46.1
173.3	169.6	3680.8	52.3
173.7	165.6	2381.3	45.9
180.2	162.2	3511.3	50.9
184.3	174.7	4506.5	54.5
177.9	165.3	3128.6	48.9
177.1	172.5	4134.1	51.1
173.4	162.6	2586.5	47
174.2	162.4	2331.3	46
176.4	164.8	2751.4	46
179.5	162.5	3251.7	48.6
179.7	171.9	4178.8	52.1
179.2	166.1	3511.8	50.8
176.3	162.7	2918.5	49.4
176.9	169.7	4027.8	52.6
178.9	166.4	3165.8	49.7
165.8	166.4	1923.5	43.6
176.9	173.6	3640.4	51.1
176.2	165.3	2580.9	46.6
174.8	167.6	3345.7	50
178.3	165.9	3456.6	49.2
171.3	162.2	2084.3	45.5
172.9	166.7	2680.1	46.1
176	165.9	2844.5	47.9
185.9	171.2	4337.9	54.8
175.6	169.1	3522.9	51.4
175.7	164.9	3169.4	49.7
183.1	167.2	4070.1	52.9
181.4	160.7	2978.4	48.4
178.5	162.3	3242.4	50.1
178.3	171.2	3549.6	49.3
176.9	164.9	2804.3	46
179.6	165.7	3037.6	49.1
180	166	3352.9	49.5
179.8	169.8	3421.4	50.4
182.9	169.5	3876	51
175.8	167.5	2976.4	48.1
184	166.1	3562	50.2
177.1	167.3	3344.7	49.3
178.8	166.6	3598.6	51.1
173.5	164.5	3041.7	48.4
181.6	167.2	3716.2	52.2
178.1	163.7	2920.3	48.6
177.7	165.9	3531.8	49.9
178.4	169.9	3404.4	49.5
173.3	165.6	3001.4	49.3
185.1	167.8	3973.9	51.1
175.8	165.4	3139.1	48.4
176.6	164.1	3540.8	51.6
175.6	166.1	3304.3	50.4
167.5	162	2041.9	43
175.7	168.7	3374.6	49.7
179.2	160.5	2978.5	48.6
181.6	161.6	2816.2	47
180.4	164.6	2862.4	46.7
178.2	168.2	3611.7	49.3
182	165.9	3590.2	49.1
174	163.9	2224	45.3
177.3	170.4	3375.9	50.2
176.3	166.4	3551.6	50.3
180.3	169.5	3878.2	51.1
176.4	166.7	3484.2	50.7
172.3	168.9	3810.3	53.3
178.1	161.5	2566.1	45.5
179.9	167.6	3164.5	48.5
181.4	168.3	3827.6	51.4
177.1	159.4	3148.7	50.2
179.3	172.4	3506.7	50
178.6	162.2	2725.4	48.2
183	172.2	4230	53.8
182.5	174	4132.5	50.9
185.6	162.4	3232.3	49.1
176.3	174.8	4379.4	54.5
177	166.5	3651.9	51.2
177.3	170.7	4079.5	53.3
176.5	166.6	3027.8	48.1
177.4	168	3178.3	49.7
176.5	173.4	4149.1	52.7
173.4	168.3	3434.4	50.2
187.1	170.8	3911.6	51.5
177	167	2629.8	45.9
175.9	159.1	2424.6	46.5
175.9	164.1	3206.1	50.2
182.8	161.4	2985.2	48.4
178.8	164.1	3296.1	49.7
175.3	167.9	3032.7	47.9
176.2	168.2	3014.5	47.9
180.2	167.7	3506.5	50.4
176.2	168.1	3106.8	49
180.3	167.6	4071.1	53.1
177.6	166.3	3939.8	52.6
178.1	162.8	3197.6	49.7
177.9	162.4	2996.6	49
177.5	166.5	2623	45.9
179.6	170.8	4067.3	52.5
176.5	167.5	3179.9	49
172	164.7	2370.7	45.5
170.2	176.9	3445.2	49.7
178.6	167.1	3242.3	49.4
178.1	168.1	3393.9	49.4
178.9	169.1	3241.9	49
176.8	170.5	3370.9	48
173.5	166.4	2990.6	49.2
177	169.3	3243.3	50.4
174	171.3	3412.6	50.5
174.2	168.2	3688.1	51.9
178.7	167.8	3239.9	48.3
168.7	162.3	2258.9	45.8
182.9	166.8	3961	51.9
181	164.9	3073	48.4
179.2	165.6	3507.1	50.1
180	168	3516.6	51.5
177.1	163.6	2741.4	47.7
176.4	167.4	3539.4	50.8
176.7	170.2	3155.9	47
177.2	170.1	3581.2	49.5
181.4	164.2	2935.7	47
178.8	168.2	3241.2	49.1
178.1	167.6	3544.6	50.9
181.8	166.2	3260.4	48.5
177	167	3181.5	49.8
174.9	163	2633.8	46
182.1	165	3638.5	50.8
181.9	165.5	3422.7	50.6
184.2	168.6	3880.9	52.6
177.7	164.6	2965.8	48.3
176.8	173.2	3408.2	49
183.8	167.7	3809.2	52.2
175.9	168	2952.5	47.6
177.8	163.2	3516.5	51.7
178.4	165.7	3417.3	51.2
181	172.6	3930.3	52
174	168.5	3074.1	47.8
174.5	163	2383.2	45.5
174.4	165.2	3050	48.5
176.9	164.8	2885.8	48
174.7	162.6	2511.2	46.3
174.5	165.7	3029.6	48.8
172.2	164.5	2678.4	46.4
175.9	167.7	3202.6	48.4
173.8	163.5	3237.2	51.5
177.5	167.1	3013.8	48.3
175.3	164.9	2476.3	44.5
179	168.4	3232.2	48.2
177.8	168.4	4058.6	53.7
181.7	169.4	3537.2	50.6
173.3	166.3	2788.4	47.7
184.2	165.2	3633.4	52.1
177.6	166.3	3213.8	49.2
178.8	163.4	3197.2	50.2
174.3	164.5	2469.9	45.9
176.4	167.8	3119.1	48.2
182.8	168.2	3772	51.2
184.4	172	4162	51.7
174.1	163.2	1990.2	45.5
174.6	168	3035.7	47.6
180.1	166.3	3438.9	50.6
173	165.7	2391	45.3
175.8	163.7	3494.5	51
178.9	161.1	2950.1	49.3
177.1	165.1	3291.7	49.6
171.7	166.9	2365.8	45.9
181	167.3	4006.2	52.8
180.1	169.2	3612.8	51.6
178.2	165.9	2827.9	46.4
181.6	164.2	3413.7	50.2
175.1	161.4	2771.2	48.3
176.9	168.4	3406	50.1
175	170.8	3363.6	51.2
183.4	169.1	3769.1	50.7
180.6	169.2	3171.1	48.4
183.3	169.2	3958.4	52.7
179.5	168.3	3428	50.3
176.8	169.5	3278.5	49.4
181	162.1	2931.2	48.5
177.5	161.5	2931.9	48.2
178.5	161.7	3020.6	49
178	166.5	3600.9	51.7
175.7	164.5	2968.8	48.1
170.9	169.3	3348.7	49.9
177.1	167.3	3211.2	48.8
178.2	164.3	2448.4	44.5
175.4	164.9	3236.2	50.1
172.4	167.8	2979.4	48.4
179.1	164.1	2808.2	47.1
175.4	164.6	3038.8	47.5
183.9	169.8	3921.3	50.6
178.3	162.3	3433.4	52.4
175	163.5	2846.8	48.5
178.3	165	3161.5	49.1
177.8	168.6	2949	47.8
178.5	165.5	3004.3	48
178.1	163.8	3264.8	49.1
177	169.2	3627.6	51.5
174.5	166.9	3478.5	51.2
173.7	162.5	3184.7	48.9
179.8	166.2	2882.5	46.1
180	168.4	4132.2	52.2
175.1	170.4	3423.4	49.5
174.8	166.2	2911.6	47.5
183.2	162.2	3576.3	51.2
178.1	164.9	2463.5	45.9
180.5	166.1	3342.2	50.5
181.4	171.8	3666.1	50.5
176.2	168.2	3001.8	48.8
181.3	168.3	3801.8	51.3
179.3	167.1	2937.4	47.2
181.8	168.2	3713.6	50.3
177.1	165.6	3346.2	50.2
173.9	165.5	3006.1	49.4
179.9	164.5	3775.3	53.3
179.8	165.3	2810.7	46.8
175.7	170.3	4001.9	53.1
175.8	165.7	3108.1	49.9
177.5	166.2	2975.4	47.2
178.2	167.7	3602.1	51.8
180.8	164.9	3045.8	47.7
181.2	170.6	3870	51.4
180.6	165.3	2716.2	45.7
184.2	167.2	3806.7	51.3
177.2	164.4	3146.8	48.3
175.3	164.9	2864	48.7
182.8	167.2	3544.9	49.7
176.3	167.3	3156.6	48.7
177.5	168.4	3126.9	47.8
180.9	168.3	3513.5	50.9
180.3	176.2	4403.1	53
179.7	169.3	3774.6	51.1
173.2	167.1	3103.3	49.8
171.5	168.2	2428.5	45.7
175.7	171.7	3327.4	50.6
174.3	172	3082.7	48.8
180.6	168	3245	47.1
181.7	172.4	4142.4	53.9
178.4	167.7	2898.1	47
180.4	165.3	2768.1	46.8
179.9	170	3059.3	48
179	170.3	3449	49.2
183.6	168.1	3944.3	51.1
184.1	173.2	3924.8	50.3
172.3	168.5	3131.3	48.4
182.2	173.3	4063.5	51.1
172.4	169.6	3061.2	48.3
181.6	166.9	4520.8	54.5
175.1	168.8	3067.2	48.5
169.6	166.7	2931.2	49.1
184.7	171.6	4111.5	52.6
181.2	167.1	3273.8	48.3
182.5	164.3	3419.9	49.9
174.9	166	3491.4	50.4
177.9	170	3799.9	50.5
178	169.4	3848.5	52.2
182.5	168.1	3954.4	53.1
180.4	162.4	3150.5	48.7
178.8	163.4	3518.2	50.3
175.6	162.8	2777.3	47.7
176	167.8	2748.1	48.3
177.9	164.8	2963.3	47.1
180.6	166.4	3232.5	50.2
172.6	166.1	3220.7	49.4
179.9	168.3	3468.7	49
173	170.8	3298.9	49.1
174.8	162	3001.3	48.7
178	164.7	3352.9	51
181.6	165.1	3134.5	47.9
184.2	160.4	3363.2	49.6
173.4	167.3	2749.3	47.1
174.3	165.2	3004.8	48.8
171.6	167.1	2794.2	47.2
175.8	169.2	3405.6	49.7
181	161.2	2871	47.3
176	168.4	3494.1	50.2
179.7	172.7	3831.9	51.3
181.9	167.9	4079.2	52.5
181.6	167.6	4280.9	53.9
173.9	168.3	2980.9	48.9
176.2	169.7	2925.6	47
179.6	166.4	3132.8	49.2
176	168.2	2904.2	46.8
177.8	170.6	3653.2	51.1
177.4	168.5	3045.7	48.4
173.6	165.1	2429.9	44.8
177	163.2	3031.8	47.7
177.1	166.3	2599.6	47.2
178.2	165.7	3335.3	49.5
176.2	166.2	3178.6	47.5
180.3	171.6	3498.9	50.5
172.4	165.7	2644.9	48.5
173.7	165.4	2995	48.2
179.6	174.5	4081.1	51.7
173.2	167.5	3195.6	50
179.5	163.6	3279.7	50
175.2	167.1	2903.1	47.1
173.4	167.8	2927.1	47.9
183.9	167.1	3983.8	52.3
174	166.1	2866.8	47.9
176.6	165.5	3321.9	49.6
176.8	165.7	3436.3	51.8
177.4	168.9	3424.2	48.7
184.9	169	4095.4	53.2
180.9	167	3811.2	51.3
177.6	172.6	3548.4	48.5
175.8	166.2	2608.4	45.8
176.2	167.2	3449.1	50.2
173.3	158.8	2264.2	46.4
181.9	166.5	3912.8	52.3
182	165.5	3493.2	50.4
168.3	165.4	2948.5	49
179.1	167.7	3624.7	50.9
174.9	165.6	2822.6	48.5
176.3	168.2	3347.7	49.8
183.2	164.1	3024.6	48.4
180.5	161.8	3038.8	48.2
173.3	165.1	2806.6	47.3
182.2	172.1	4193.1	52.6
184	169.9	3862.4	51.7
173.6	169.9	3575	51.9
173.5	171.6	3392.7	49.8
172.8	167.7	2876.3	48.2
